city,job_title,company_name,summary,salary_ lower,salary_upper
sydney,Data Scientist,Domain Group," a Data Scientist in our team, you will leverage your deep experience in statistics, machine learning and data analysis to drive significant improvements to...",salary,
sydney,Lead Data Scientist,Domain Group,"We are looking for a lead data scientist to help sales, product and business leadership make decisions with data, give consumers certainty and control when...",salary,
sydney,Data Scientist,biomind.ai,"The candidate is a skilled data scientist who will be building deep learning models for medical image diagnosis applications such as segmentation, localisation...",salary,
sydney,Junior Data Scientist,HIVERY,Our team of data scientists apply machine learning and sophisticated optimization techniques to develop simple-to-use solutions for the optimal business outcome...,"$60,000 ","$85,000 "
sydney,Junior Data Scientist,The Eclair Group,"Industry experience as a Data Analyst or Junior Data Scientist with a track record of manipulating, processing, and extracting value from large datasets....","$70,000 ","$90,000 "
sydney,Junior data scientist,Intellify,"We also believe great data science comes from great teams, so invest continuously in upskilling and cross-training our data scientists, with lunch & learn...","$80,000 ","$100,000 "
sydney,Data Scientist,DataRobot,Customer Facing Data Scientists work with the sales team to develop client relationships and deliver data science solutions for customers across a variety of...,salary,
sydney,data science,CPT Global,"Strong experience working as a Data Scientist. Experience of working with large data sets, statistical techniques and analysis â€“ data mining, cleansing,...",salary,
sydney,data science,Freshwater Group,The Data Scientist will:. Manage data sets. A Data Scientist is required for a wholesale electricity retailer that connects its customers to the wholesale...,salary,
sydney,data science,Ikon,"Provide tangible support to Senior Data Scientists and the Data Science Manager in the preparation, analysis and visualization of data....",salary,
sydney,Senior Data Scientist,Qantas Airways Limited,Senior Data Scientist â€“ Predictive Modelling & Segmentation.  a Senior Data Scientist you will be responsible for undertaking insights and modelling to...,salary,
sydney,data science,Freelancer.com,"Proven experience as a data scientist or analyst. Experience in data mining. If this sounds like you, you will love life as a data scientist at Freelancer....","$65,000 ","$110,000 "
sydney,data science,Caltex," a data scientist at Caltex, youâ€™ll take us further by:. Our data scientists are responsible for developing models to deliver these outcomes, working together...",salary,
sydney,Junior Data Analyst/Scientist,International Institute of Data & Analytics,"In data science and big data analytics, the IDA creates enablers for:. Leading the field of data science and analytics innovation, training and services by...",salary,
sydney,Senior Data Scientist,Intellify,Being a senior data scientist at Intellify you are charged with both being a mentor and learning from fellow specialist data scientists in an ever evolving and...,"$120,000 ","$160,000 "
sydney,data science,News Corp Australia,"Undertake proactive analysis of customer data processes that produce data driven analysis, reporting, insights and models....",salary,
Ultimo,Data Scientist,Domain Group," a Data Scientist in our team, you will leverage your deep experience in statistics, machine learning and data analysis to drive significant improvements to...",salary,
Ultimo,Lead Data Scientist,Domain Group,"We are looking for a lead data scientist to help sales, product and business leadership make decisions with data, give consumers certainty and control when...",salary,
Ultimo,Data Scientist,biomind.ai,"The candidate is a skilled data scientist who will be building deep learning models for medical image diagnosis applications such as segmentation, localisation...",salary,
Ultimo,Junior Data Scientist,HIVERY,Our team of data scientists apply machine learning and sophisticated optimization techniques to develop simple-to-use solutions for the optimal business outcome...,"$60,000 ","$85,000 "
Ultimo,Junior Data Scientist,The Eclair Group,"Industry experience as a Data Analyst or Junior Data Scientist with a track record of manipulating, processing, and extracting value from large datasets....","$70,000 ","$90,000 "
Ultimo,Junior data scientist,Intellify,"We also believe great data science comes from great teams, so invest continuously in upskilling and cross-training our data scientists, with lunch & learn...","$80,000 ","$100,000 "
Ultimo,Data Scientist,DataRobot,Customer Facing Data Scientists work with the sales team to develop client relationships and deliver data science solutions for customers across a variety of...,salary,
Ultimo,data science,CPT Global,"Strong experience working as a Data Scientist. Experience of working with large data sets, statistical techniques and analysis â€“ data mining, cleansing,...",salary,
Ultimo,data science,Freshwater Group,The Data Scientist will:. Manage data sets. A Data Scientist is required for a wholesale electricity retailer that connects its customers to the wholesale...,salary,
Ultimo,data science,Ikon,"Provide tangible support to Senior Data Scientists and the Data Science Manager in the preparation, analysis and visualization of data....",salary,
Ultimo,Senior Data Scientist,Qantas Airways Limited,Senior Data Scientist â€“ Predictive Modelling & Segmentation.  a Senior Data Scientist you will be responsible for undertaking insights and modelling to...,salary,
Ultimo,data science,Freelancer.com,"Proven experience as a data scientist or analyst. Experience in data mining. If this sounds like you, you will love life as a data scientist at Freelancer....","$65,000 ","$110,000 "
Ultimo,data science,Caltex," a data scientist at Caltex, youâ€™ll take us further by:. Our data scientists are responsible for developing models to deliver these outcomes, working together...",salary,
Ultimo,Junior Data Analyst/Scientist,International Institute of Data & Analytics,"In data science and big data analytics, the IDA creates enablers for:. Leading the field of data science and analytics innovation, training and services by...",salary,
Ultimo,Senior Data Scientist,Intellify,Being a senior data scientist at Intellify you are charged with both being a mentor and learning from fellow specialist data scientists in an ever evolving and...,"$120,000 ","$160,000 "
Ultimo,data science,News Corp Australia,"Undertake proactive analysis of customer data processes that produce data driven analysis, reporting, insights and models....",salary,
sydney,Data Scientist,Domain Group," a Data Scientist in our team, you will leverage your deep experience in statistics, machine learning and data analysis to drive significant improvements to...",salary,
sydney,Lead Data Scientist,Domain Group,"We are looking for a lead data scientist to help sales, product and business leadership make decisions with data, give consumers certainty and control when...",salary,
sydney,Data Scientist,biomind.ai,"The candidate is a skilled data scientist who will be building deep learning models for medical image diagnosis applications such as segmentation, localisation...",salary,
sydney,Junior Data Scientist,HIVERY,Our team of data scientists apply machine learning and sophisticated optimization techniques to develop simple-to-use solutions for the optimal business outcome...,"$60,000 ","$85,000 "
sydney,Junior Data Scientist,The Eclair Group,"Industry experience as a Data Analyst or Junior Data Scientist with a track record of manipulating, processing, and extracting value from large datasets....","$70,000 ","$90,000 "
sydney,Junior data scientist,Intellify,"We also believe great data science comes from great teams, so invest continuously in upskilling and cross-training our data scientists, with lunch & learn...","$80,000 ","$100,000 "
sydney,Data Scientist,DataRobot,Customer Facing Data Scientists work with the sales team to develop client relationships and deliver data science solutions for customers across a variety of...,salary,
sydney,data science,CPT Global,"Strong experience working as a Data Scientist. Experience of working with large data sets, statistical techniques and analysis â€“ data mining, cleansing,...",salary,
sydney,data science,Freshwater Group,The Data Scientist will:. Manage data sets. A Data Scientist is required for a wholesale electricity retailer that connects its customers to the wholesale...,salary,
sydney,data science,Ikon,"Provide tangible support to Senior Data Scientists and the Data Science Manager in the preparation, analysis and visualization of data....",salary,
sydney,Senior Data Scientist,Qantas Airways Limited,Senior Data Scientist â€“ Predictive Modelling & Segmentation.  a Senior Data Scientist you will be responsible for undertaking insights and modelling to...,salary,
sydney,data science,Freelancer.com,"Proven experience as a data scientist or analyst. Experience in data mining. If this sounds like you, you will love life as a data scientist at Freelancer....","$65,000 ","$110,000 "
sydney,data science,Caltex," a data scientist at Caltex, youâ€™ll take us further by:. Our data scientists are responsible for developing models to deliver these outcomes, working together...",salary,
sydney,Junior Data Analyst/Scientist,International Institute of Data & Analytics,"In data science and big data analytics, the IDA creates enablers for:. Leading the field of data science and analytics innovation, training and services by...",salary,
sydney,Senior Data Scientist,Intellify,Being a senior data scientist at Intellify you are charged with both being a mentor and learning from fellow specialist data scientists in an ever evolving and...,"$120,000 ","$160,000 "
sydney,data science,News Corp Australia,"Undertake proactive analysis of customer data processes that produce data driven analysis, reporting, insights and models....",salary,
Darlinghurst,Data Scientist,Domain Group," a Data Scientist in our team, you will leverage your deep experience in statistics, machine learning and data analysis to drive significant improvements to...",salary,
Darlinghurst,Lead Data Scientist,Domain Group,"We are looking for a lead data scientist to help sales, product and business leadership make decisions with data, give consumers certainty and control when...",salary,
Darlinghurst,Data Scientist,biomind.ai,"The candidate is a skilled data scientist who will be building deep learning models for medical image diagnosis applications such as segmentation, localisation...",salary,
Darlinghurst,Junior Data Scientist,HIVERY,Our team of data scientists apply machine learning and sophisticated optimization techniques to develop simple-to-use solutions for the optimal business outcome...,"$60,000 ","$85,000 "
Darlinghurst,Junior Data Scientist,The Eclair Group,"Industry experience as a Data Analyst or Junior Data Scientist with a track record of manipulating, processing, and extracting value from large datasets....","$70,000 ","$90,000 "
Darlinghurst,Junior data scientist,Intellify,"We also believe great data science comes from great teams, so invest continuously in upskilling and cross-training our data scientists, with lunch & learn...","$80,000 ","$100,000 "
Darlinghurst,Data Scientist,DataRobot,Customer Facing Data Scientists work with the sales team to develop client relationships and deliver data science solutions for customers across a variety of...,salary,
Darlinghurst,data science,CPT Global,"Strong experience working as a Data Scientist. Experience of working with large data sets, statistical techniques and analysis â€“ data mining, cleansing,...",salary,
Darlinghurst,data science,Freshwater Group,The Data Scientist will:. Manage data sets. A Data Scientist is required for a wholesale electricity retailer that connects its customers to the wholesale...,salary,
Darlinghurst,data science,Ikon,"Provide tangible support to Senior Data Scientists and the Data Science Manager in the preparation, analysis and visualization of data....",salary,
Darlinghurst,Senior Data Scientist,Qantas Airways Limited,Senior Data Scientist â€“ Predictive Modelling & Segmentation.  a Senior Data Scientist you will be responsible for undertaking insights and modelling to...,salary,
Darlinghurst,data science,Freelancer.com,"Proven experience as a data scientist or analyst. Experience in data mining. If this sounds like you, you will love life as a data scientist at Freelancer....","$65,000 ","$110,000 "
Darlinghurst,data science,Caltex," a data scientist at Caltex, youâ€™ll take us further by:. Our data scientists are responsible for developing models to deliver these outcomes, working together...",salary,
Darlinghurst,Junior Data Analyst/Scientist,International Institute of Data & Analytics,"In data science and big data analytics, the IDA creates enablers for:. Leading the field of data science and analytics innovation, training and services by...",salary,
Darlinghurst,Senior Data Scientist,Intellify,Being a senior data scientist at Intellify you are charged with both being a mentor and learning from fellow specialist data scientists in an ever evolving and...,"$120,000 ","$160,000 "
Darlinghurst,data science,News Corp Australia,"Undertake proactive analysis of customer data processes that produce data driven analysis, reporting, insights and models....",salary,
Barangaroo,Data Scientist,Domain Group," a Data Scientist in our team, you will leverage your deep experience in statistics, machine learning and data analysis to drive significant improvements to...",salary,
Barangaroo,Lead Data Scientist,Domain Group,"We are looking for a lead data scientist to help sales, product and business leadership make decisions with data, give consumers certainty and control when...",salary,
Barangaroo,Data Scientist,biomind.ai,"The candidate is a skilled data scientist who will be building deep learning models for medical image diagnosis applications such as segmentation, localisation...",salary,
Barangaroo,Junior Data Scientist,HIVERY,Our team of data scientists apply machine learning and sophisticated optimization techniques to develop simple-to-use solutions for the optimal business outcome...,"$60,000 ","$85,000 "
Barangaroo,Junior Data Scientist,The Eclair Group,"Industry experience as a Data Analyst or Junior Data Scientist with a track record of manipulating, processing, and extracting value from large datasets....","$70,000 ","$90,000 "
Barangaroo,Junior data scientist,Intellify,"We also believe great data science comes from great teams, so invest continuously in upskilling and cross-training our data scientists, with lunch & learn...","$80,000 ","$100,000 "
Barangaroo,Data Scientist,DataRobot,Customer Facing Data Scientists work with the sales team to develop client relationships and deliver data science solutions for customers across a variety of...,salary,
Barangaroo,data science,CPT Global,"Strong experience working as a Data Scientist. Experience of working with large data sets, statistical techniques and analysis â€“ data mining, cleansing,...",salary,
Barangaroo,data science,Freshwater Group,The Data Scientist will:. Manage data sets. A Data Scientist is required for a wholesale electricity retailer that connects its customers to the wholesale...,salary,
Barangaroo,data science,Ikon,"Provide tangible support to Senior Data Scientists and the Data Science Manager in the preparation, analysis and visualization of data....",salary,
Barangaroo,Senior Data Scientist,Qantas Airways Limited,Senior Data Scientist â€“ Predictive Modelling & Segmentation.  a Senior Data Scientist you will be responsible for undertaking insights and modelling to...,salary,
Barangaroo,data science,Freelancer.com,"Proven experience as a data scientist or analyst. Experience in data mining. If this sounds like you, you will love life as a data scientist at Freelancer....","$65,000 ","$110,000 "
Barangaroo,data science,Caltex," a data scientist at Caltex, youâ€™ll take us further by:. Our data scientists are responsible for developing models to deliver these outcomes, working together...",salary,
Barangaroo,Junior Data Analyst/Scientist,International Institute of Data & Analytics,"In data science and big data analytics, the IDA creates enablers for:. Leading the field of data science and analytics innovation, training and services by...",salary,
Barangaroo,Senior Data Scientist,Intellify,Being a senior data scientist at Intellify you are charged with both being a mentor and learning from fellow specialist data scientists in an ever evolving and...,"$120,000 ","$160,000 "
Barangaroo,data science,News Corp Australia,"Undertake proactive analysis of customer data processes that produce data driven analysis, reporting, insights and models....",salary,
Mascot,Data Scientist,Domain Group," a Data Scientist in our team, you will leverage your deep experience in statistics, machine learning and data analysis to drive significant improvements to...",salary,
Mascot,Lead Data Scientist,Domain Group,"We are looking for a lead data scientist to help sales, product and business leadership make decisions with data, give consumers certainty and control when...",salary,
Mascot,Data Scientist,biomind.ai,"The candidate is a skilled data scientist who will be building deep learning models for medical image diagnosis applications such as segmentation, localisation...",salary,
Mascot,Junior Data Scientist,HIVERY,Our team of data scientists apply machine learning and sophisticated optimization techniques to develop simple-to-use solutions for the optimal business outcome...,"$60,000 ","$85,000 "
Mascot,Junior Data Scientist,The Eclair Group,"Industry experience as a Data Analyst or Junior Data Scientist with a track record of manipulating, processing, and extracting value from large datasets....","$70,000 ","$90,000 "
Mascot,Junior data scientist,Intellify,"We also believe great data science comes from great teams, so invest continuously in upskilling and cross-training our data scientists, with lunch & learn...","$80,000 ","$100,000 "
Mascot,Data Scientist,DataRobot,Customer Facing Data Scientists work with the sales team to develop client relationships and deliver data science solutions for customers across a variety of...,salary,
Mascot,data science,CPT Global,"Strong experience working as a Data Scientist. Experience of working with large data sets, statistical techniques and analysis â€“ data mining, cleansing,...",salary,
Mascot,data science,Freshwater Group,The Data Scientist will:. Manage data sets. A Data Scientist is required for a wholesale electricity retailer that connects its customers to the wholesale...,salary,
Mascot,data science,Ikon,"Provide tangible support to Senior Data Scientists and the Data Science Manager in the preparation, analysis and visualization of data....",salary,
Mascot,Senior Data Scientist,Qantas Airways Limited,Senior Data Scientist â€“ Predictive Modelling & Segmentation.  a Senior Data Scientist you will be responsible for undertaking insights and modelling to...,salary,
Mascot,data science,Freelancer.com,"Proven experience as a data scientist or analyst. Experience in data mining. If this sounds like you, you will love life as a data scientist at Freelancer....","$65,000 ","$110,000 "
Mascot,data science,Caltex," a data scientist at Caltex, youâ€™ll take us further by:. Our data scientists are responsible for developing models to deliver these outcomes, working together...",salary,
Mascot,Junior Data Analyst/Scientist,International Institute of Data & Analytics,"In data science and big data analytics, the IDA creates enablers for:. Leading the field of data science and analytics innovation, training and services by...",salary,
Mascot,Senior Data Scientist,Intellify,Being a senior data scientist at Intellify you are charged with both being a mentor and learning from fellow specialist data scientists in an ever evolving and...,"$120,000 ","$160,000 "
Mascot,data science,News Corp Australia,"Undertake proactive analysis of customer data processes that produce data driven analysis, reporting, insights and models....",salary,
Parramatta,Data Scientist,Domain Group," a Data Scientist in our team, you will leverage your deep experience in statistics, machine learning and data analysis to drive significant improvements to...",salary,
Parramatta,Lead Data Scientist,Domain Group,"We are looking for a lead data scientist to help sales, product and business leadership make decisions with data, give consumers certainty and control when...",salary,
Parramatta,Data Scientist,biomind.ai,"The candidate is a skilled data scientist who will be building deep learning models for medical image diagnosis applications such as segmentation, localisation...",salary,
Parramatta,Junior Data Scientist,HIVERY,Our team of data scientists apply machine learning and sophisticated optimization techniques to develop simple-to-use solutions for the optimal business outcome...,"$60,000 ","$85,000 "
Parramatta,Junior Data Scientist,The Eclair Group,"Industry experience as a Data Analyst or Junior Data Scientist with a track record of manipulating, processing, and extracting value from large datasets....","$70,000 ","$90,000 "
Parramatta,Junior data scientist,Intellify,"We also believe great data science comes from great teams, so invest continuously in upskilling and cross-training our data scientists, with lunch & learn...","$80,000 ","$100,000 "
Parramatta,Data Scientist,DataRobot,Customer Facing Data Scientists work with the sales team to develop client relationships and deliver data science solutions for customers across a variety of...,salary,
Parramatta,data science,CPT Global,"Strong experience working as a Data Scientist. Experience of working with large data sets, statistical techniques and analysis â€“ data mining, cleansing,...",salary,
Parramatta,data science,Freshwater Group,The Data Scientist will:. Manage data sets. A Data Scientist is required for a wholesale electricity retailer that connects its customers to the wholesale...,salary,
Parramatta,data science,Ikon,"Provide tangible support to Senior Data Scientists and the Data Science Manager in the preparation, analysis and visualization of data....",salary,
Parramatta,Senior Data Scientist,Qantas Airways Limited,Senior Data Scientist â€“ Predictive Modelling & Segmentation.  a Senior Data Scientist you will be responsible for undertaking insights and modelling to...,salary,
Parramatta,data science,Freelancer.com,"Proven experience as a data scientist or analyst. Experience in data mining. If this sounds like you, you will love life as a data scientist at Freelancer....","$65,000 ","$110,000 "
Parramatta,data science,Caltex," a data scientist at Caltex, youâ€™ll take us further by:. Our data scientists are responsible for developing models to deliver these outcomes, working together...",salary,
Parramatta,Junior Data Analyst/Scientist,International Institute of Data & Analytics,"In data science and big data analytics, the IDA creates enablers for:. Leading the field of data science and analytics innovation, training and services by...",salary,
Parramatta,Senior Data Scientist,Intellify,Being a senior data scientist at Intellify you are charged with both being a mentor and learning from fellow specialist data scientists in an ever evolving and...,"$120,000 ","$160,000 "
Parramatta,data science,News Corp Australia,"Undertake proactive analysis of customer data processes that produce data driven analysis, reporting, insights and models....",salary,
Surry,Data Scientist,Domain Group," a Data Scientist in our team, you will leverage your deep experience in statistics, machine learning and data analysis to drive significant improvements to...",salary,
Surry,Lead Data Scientist,Domain Group,"We are looking for a lead data scientist to help sales, product and business leadership make decisions with data, give consumers certainty and control when...",salary,
Surry,Data Scientist,biomind.ai,"The candidate is a skilled data scientist who will be building deep learning models for medical image diagnosis applications such as segmentation, localisation...",salary,
Surry,Junior Data Scientist,HIVERY,Our team of data scientists apply machine learning and sophisticated optimization techniques to develop simple-to-use solutions for the optimal business outcome...,"$60,000 ","$85,000 "
Surry,Junior Data Scientist,The Eclair Group,"Industry experience as a Data Analyst or Junior Data Scientist with a track record of manipulating, processing, and extracting value from large datasets....","$70,000 ","$90,000 "
Surry,Junior data scientist,Intellify,"We also believe great data science comes from great teams, so invest continuously in upskilling and cross-training our data scientists, with lunch & learn...","$80,000 ","$100,000 "
Surry,Data Scientist,DataRobot,Customer Facing Data Scientists work with the sales team to develop client relationships and deliver data science solutions for customers across a variety of...,salary,
Surry,data science,CPT Global,"Strong experience working as a Data Scientist. Experience of working with large data sets, statistical techniques and analysis â€“ data mining, cleansing,...",salary,
Surry,data science,Freshwater Group,The Data Scientist will:. Manage data sets. A Data Scientist is required for a wholesale electricity retailer that connects its customers to the wholesale...,salary,
Surry,data science,Ikon,"Provide tangible support to Senior Data Scientists and the Data Science Manager in the preparation, analysis and visualization of data....",salary,
Surry,Senior Data Scientist,Qantas Airways Limited,Senior Data Scientist â€“ Predictive Modelling & Segmentation.  a Senior Data Scientist you will be responsible for undertaking insights and modelling to...,salary,
Surry,data science,Freelancer.com,"Proven experience as a data scientist or analyst. Experience in data mining. If this sounds like you, you will love life as a data scientist at Freelancer....","$65,000 ","$110,000 "
Surry,data science,Caltex," a data scientist at Caltex, youâ€™ll take us further by:. Our data scientists are responsible for developing models to deliver these outcomes, working together...",salary,
Surry,Junior Data Analyst/Scientist,International Institute of Data & Analytics,"In data science and big data analytics, the IDA creates enablers for:. Leading the field of data science and analytics innovation, training and services by...",salary,
Surry,Senior Data Scientist,Intellify,Being a senior data scientist at Intellify you are charged with both being a mentor and learning from fellow specialist data scientists in an ever evolving and...,"$120,000 ","$160,000 "
Surry,data science,News Corp Australia,"Undertake proactive analysis of customer data processes that produce data driven analysis, reporting, insights and models....",salary,
Macquarie,Data Scientist,Domain Group," a Data Scientist in our team, you will leverage your deep experience in statistics, machine learning and data analysis to drive significant improvements to...",salary,
Macquarie,Lead Data Scientist,Domain Group,"We are looking for a lead data scientist to help sales, product and business leadership make decisions with data, give consumers certainty and control when...",salary,
Macquarie,Data Scientist,biomind.ai,"The candidate is a skilled data scientist who will be building deep learning models for medical image diagnosis applications such as segmentation, localisation...",salary,
Macquarie,Junior Data Scientist,HIVERY,Our team of data scientists apply machine learning and sophisticated optimization techniques to develop simple-to-use solutions for the optimal business outcome...,"$60,000 ","$85,000 "
Macquarie,Junior Data Scientist,The Eclair Group,"Industry experience as a Data Analyst or Junior Data Scientist with a track record of manipulating, processing, and extracting value from large datasets....","$70,000 ","$90,000 "
Macquarie,Junior data scientist,Intellify,"We also believe great data science comes from great teams, so invest continuously in upskilling and cross-training our data scientists, with lunch & learn...","$80,000 ","$100,000 "
Macquarie,Data Scientist,DataRobot,Customer Facing Data Scientists work with the sales team to develop client relationships and deliver data science solutions for customers across a variety of...,salary,
Macquarie,data science,CPT Global,"Strong experience working as a Data Scientist. Experience of working with large data sets, statistical techniques and analysis â€“ data mining, cleansing,...",salary,
Macquarie,data science,Freshwater Group,The Data Scientist will:. Manage data sets. A Data Scientist is required for a wholesale electricity retailer that connects its customers to the wholesale...,salary,
Macquarie,data science,Ikon,"Provide tangible support to Senior Data Scientists and the Data Science Manager in the preparation, analysis and visualization of data....",salary,
Macquarie,Senior Data Scientist,Qantas Airways Limited,Senior Data Scientist â€“ Predictive Modelling & Segmentation.  a Senior Data Scientist you will be responsible for undertaking insights and modelling to...,salary,
Macquarie,data science,Freelancer.com,"Proven experience as a data scientist or analyst. Experience in data mining. If this sounds like you, you will love life as a data scientist at Freelancer....","$65,000 ","$110,000 "
Macquarie,data science,Caltex," a data scientist at Caltex, youâ€™ll take us further by:. Our data scientists are responsible for developing models to deliver these outcomes, working together...",salary,
Macquarie,Junior Data Analyst/Scientist,International Institute of Data & Analytics,"In data science and big data analytics, the IDA creates enablers for:. Leading the field of data science and analytics innovation, training and services by...",salary,
Macquarie,Senior Data Scientist,Intellify,Being a senior data scientist at Intellify you are charged with both being a mentor and learning from fellow specialist data scientists in an ever evolving and...,"$120,000 ","$160,000 "
Macquarie,data science,News Corp Australia,"Undertake proactive analysis of customer data processes that produce data driven analysis, reporting, insights and models....",salary,
sydney,Data Scientist,Domain Group," a Data Scientist in our team, you will leverage your deep experience in statistics, machine learning and data analysis to drive significant improvements to...",salary,
sydney,Lead Data Scientist,Domain Group,"We are looking for a lead data scientist to help sales, product and business leadership make decisions with data, give consumers certainty and control when...",salary,
sydney,Data Scientist,biomind.ai,"The candidate is a skilled data scientist who will be building deep learning models for medical image diagnosis applications such as segmentation, localisation...",salary,
sydney,Junior Data Scientist,HIVERY,Our team of data scientists apply machine learning and sophisticated optimization techniques to develop simple-to-use solutions for the optimal business outcome...,"$60,000 ","$85,000 "
