,city,job_title,company_name,summary,salary_lower,salary_upper,mean_salary,Analyst,Data Analyst,Data Scientist,Junior Data Scientist
0,Sydney,Data Scientist,Domain Group,As a Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
1,Sydney,Data Scientist,ANZ Banking Group,As the Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
3,Sydney,Junior Data Scientist,Intellify,We also believe great Data Scientist,80000.0,100000.0,90000.0,0,0,0,1
4,Sydney,Junior Data Scientist,The Eclair Group,Industry experience as a Data Analyst or Junior Data Scientist,70000.0,90000.0,80000.0,0,0,0,1
5,Sydney,Data Scientist,Investigations & Counter Terrorism,Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
6,Sydney,Junior Data Scientist,Sirius People ,Opportunity to start your career in Data Scientist,70000.0,90000.0,80000.0,0,0,0,1
7,Sydney,Data Scientist,DataRobot,Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
8,Sydney,Data Scientist,Datasii,Experience as a Data Scientist,100000.0,115000.0,107500.0,0,0,1,0
9,Sydney,Data Scientist,Freelancer.com,Proven experience as a Data Scientist,65000.0,110000.0,87500.0,0,0,1,0
10,Sydney,Data Scientist,Freshwater Group,The Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
11,Sydney,Data Scientist,CPT Global,Strong experience working as a Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
12,Sydney,Data Scientist,Ikon,Provide tangible support to Senior Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
13,Sydney,Data Scientist,Sydney,Undertake proactive analysis of customer Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
14,Sydney,Junior Data Scientist,HIVERY,Our team of Data Scientist,60000.0,85000.0,72500.0,0,0,0,1
15,Ultimo,Data Scientist,Domain Group,As a Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
16,Ultimo,Data Scientist,ANZ Banking Group,As the Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
18,Ultimo,Junior Data Scientist,Intellify,We also believe great Data Scientist,80000.0,100000.0,90000.0,0,0,0,1
19,Ultimo,Junior Data Scientist,The Eclair Group,Industry experience as a Data Analyst or Junior Data Scientist,70000.0,90000.0,80000.0,0,0,0,1
20,Ultimo,Data Scientist,Investigations & Counter Terrorism,Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
21,Ultimo,Junior Data Scientist,Sirius People ,Opportunity to start your career in Data Scientist,70000.0,90000.0,80000.0,0,0,0,1
22,Ultimo,Data Scientist,DataRobot,Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
23,Ultimo,Data Scientist,Datasii,Experience as a Data Scientist,100000.0,115000.0,107500.0,0,0,1,0
24,Ultimo,Data Scientist,Freelancer.com,Proven experience as a Data Scientist,65000.0,110000.0,87500.0,0,0,1,0
25,Ultimo,Data Scientist,Freshwater Group,The Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
26,Ultimo,Data Scientist,CPT Global,Strong experience working as a Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
27,Ultimo,Data Scientist,Ikon,Provide tangible support to Senior Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
28,Ultimo,Data Scientist,Sydney,Undertake proactive analysis of customer Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
29,Ultimo,Junior Data Scientist,HIVERY,Our team of Data Scientist,60000.0,85000.0,72500.0,0,0,0,1
30,Sydney,Data Scientist,Domain Group,As a Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
31,Sydney,Data Scientist,ANZ Banking Group,As the Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
33,Sydney,Junior Data Scientist,Intellify,We also believe great Data Scientist,80000.0,100000.0,90000.0,0,0,0,1
34,Sydney,Junior Data Scientist,The Eclair Group,Industry experience as a Data Analyst or Junior Data Scientist,70000.0,90000.0,80000.0,0,0,0,1
35,Sydney,Data Scientist,Investigations & Counter Terrorism,Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
36,Sydney,Junior Data Scientist,Sirius People ,Opportunity to start your career in Data Scientist,70000.0,90000.0,80000.0,0,0,0,1
37,Sydney,Data Scientist,DataRobot,Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
38,Sydney,Data Scientist,Datasii,Experience as a Data Scientist,100000.0,115000.0,107500.0,0,0,1,0
39,Sydney,Data Scientist,Freelancer.com,Proven experience as a Data Scientist,65000.0,110000.0,87500.0,0,0,1,0
40,Sydney,Data Scientist,Freshwater Group,The Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
41,Sydney,Data Scientist,CPT Global,Strong experience working as a Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
42,Sydney,Data Scientist,Ikon,Provide tangible support to Senior Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
43,Sydney,Data Scientist,Sydney,Undertake proactive analysis of customer Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
44,Sydney,Junior Data Scientist,HIVERY,Our team of Data Scientist,60000.0,85000.0,72500.0,0,0,0,1
45,Darlinghurst,Data Scientist,Domain Group,As a Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
46,Darlinghurst,Data Scientist,ANZ Banking Group,As the Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
48,Darlinghurst,Junior Data Scientist,Intellify,We also believe great Data Scientist,80000.0,100000.0,90000.0,0,0,0,1
49,Darlinghurst,Junior Data Scientist,The Eclair Group,Industry experience as a Data Analyst or Junior Data Scientist,70000.0,90000.0,80000.0,0,0,0,1
50,Darlinghurst,Data Scientist,Investigations & Counter Terrorism,Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
51,Darlinghurst,Junior Data Scientist,Sirius People ,Opportunity to start your career in Data Scientist,70000.0,90000.0,80000.0,0,0,0,1
52,Darlinghurst,Data Scientist,DataRobot,Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
53,Darlinghurst,Data Scientist,Datasii,Experience as a Data Scientist,100000.0,115000.0,107500.0,0,0,1,0
54,Darlinghurst,Data Scientist,Freelancer.com,Proven experience as a Data Scientist,65000.0,110000.0,87500.0,0,0,1,0
55,Darlinghurst,Data Scientist,Freshwater Group,The Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
56,Darlinghurst,Data Scientist,CPT Global,Strong experience working as a Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
57,Darlinghurst,Data Scientist,Ikon,Provide tangible support to Senior Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
58,Darlinghurst,Data Scientist,Sydney,Undertake proactive analysis of customer Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
59,Darlinghurst,Junior Data Scientist,HIVERY,Our team of Data Scientist,60000.0,85000.0,72500.0,0,0,0,1
60,Barangaroo,Data Scientist,Domain Group,As a Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
61,Barangaroo,Data Scientist,ANZ Banking Group,As the Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
63,Barangaroo,Junior Data Scientist,Intellify,We also believe great Data Scientist,80000.0,100000.0,90000.0,0,0,0,1
64,Barangaroo,Junior Data Scientist,The Eclair Group,Industry experience as a Data Analyst or Junior Data Scientist,70000.0,90000.0,80000.0,0,0,0,1
65,Barangaroo,Data Scientist,Investigations & Counter Terrorism,Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
66,Barangaroo,Junior Data Scientist,Sirius People ,Opportunity to start your career in Data Scientist,70000.0,90000.0,80000.0,0,0,0,1
67,Barangaroo,Data Scientist,DataRobot,Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
68,Barangaroo,Data Scientist,Datasii,Experience as a Data Scientist,100000.0,115000.0,107500.0,0,0,1,0
69,Barangaroo,Data Scientist,Freelancer.com,Proven experience as a Data Scientist,65000.0,110000.0,87500.0,0,0,1,0
70,Barangaroo,Data Scientist,Freshwater Group,The Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
71,Barangaroo,Data Scientist,CPT Global,Strong experience working as a Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
72,Barangaroo,Data Scientist,Ikon,Provide tangible support to Senior Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
73,Barangaroo,Data Scientist,Sydney,Undertake proactive analysis of customer Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
74,Barangaroo,Junior Data Scientist,HIVERY,Our team of Data Scientist,60000.0,85000.0,72500.0,0,0,0,1
75,Mascot,Data Scientist,Domain Group,As a Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
76,Mascot,Data Scientist,ANZ Banking Group,As the Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
78,Mascot,Junior Data Scientist,Intellify,We also believe great Data Scientist,80000.0,100000.0,90000.0,0,0,0,1
79,Mascot,Junior Data Scientist,The Eclair Group,Industry experience as a Data Analyst or Junior Data Scientist,70000.0,90000.0,80000.0,0,0,0,1
80,Mascot,Data Scientist,Investigations & Counter Terrorism,Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
81,Mascot,Junior Data Scientist,Sirius People ,Opportunity to start your career in Data Scientist,70000.0,90000.0,80000.0,0,0,0,1
82,Mascot,Data Scientist,DataRobot,Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
83,Mascot,Data Scientist,Datasii,Experience as a Data Scientist,100000.0,115000.0,107500.0,0,0,1,0
84,Mascot,Data Scientist,Freelancer.com,Proven experience as a Data Scientist,65000.0,110000.0,87500.0,0,0,1,0
85,Mascot,Data Scientist,Freshwater Group,The Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
86,Mascot,Data Scientist,CPT Global,Strong experience working as a Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
87,Mascot,Data Scientist,Ikon,Provide tangible support to Senior Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
88,Mascot,Data Scientist,Sydney,Undertake proactive analysis of customer Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
89,Mascot,Junior Data Scientist,HIVERY,Our team of Data Scientist,60000.0,85000.0,72500.0,0,0,0,1
90,Parramatta,Data Scientist,Domain Group,As a Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
91,Parramatta,Data Scientist,ANZ Banking Group,As the Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
93,Parramatta,Junior Data Scientist,Intellify,We also believe great Data Scientist,80000.0,100000.0,90000.0,0,0,0,1
94,Parramatta,Junior Data Scientist,The Eclair Group,Industry experience as a Data Analyst or Junior Data Scientist,70000.0,90000.0,80000.0,0,0,0,1
95,Parramatta,Data Scientist,Investigations & Counter Terrorism,Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
96,Parramatta,Junior Data Scientist,Sirius People ,Opportunity to start your career in Data Scientist,70000.0,90000.0,80000.0,0,0,0,1
97,Parramatta,Data Scientist,DataRobot,Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
98,Parramatta,Data Scientist,Datasii,Experience as a Data Scientist,100000.0,115000.0,107500.0,0,0,1,0
99,Parramatta,Data Scientist,Freelancer.com,Proven experience as a Data Scientist,65000.0,110000.0,87500.0,0,0,1,0
100,Parramatta,Data Scientist,Freshwater Group,The Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
101,Parramatta,Data Scientist,CPT Global,Strong experience working as a Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
102,Parramatta,Data Scientist,Ikon,Provide tangible support to Senior Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
103,Parramatta,Data Scientist,Sydney,Undertake proactive analysis of customer Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
104,Parramatta,Junior Data Scientist,HIVERY,Our team of Data Scientist,60000.0,85000.0,72500.0,0,0,0,1
105,Surry Hills,Data Scientist,Domain Group,As a Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
106,Surry Hills,Data Scientist,ANZ Banking Group,As the Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
108,Surry Hills,Junior Data Scientist,Intellify,We also believe great Data Scientist,80000.0,100000.0,90000.0,0,0,0,1
109,Surry Hills,Junior Data Scientist,The Eclair Group,Industry experience as a Data Analyst or Junior Data Scientist,70000.0,90000.0,80000.0,0,0,0,1
110,Surry Hills,Data Scientist,Investigations & Counter Terrorism,Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
111,Surry Hills,Junior Data Scientist,Sirius People ,Opportunity to start your career in Data Scientist,70000.0,90000.0,80000.0,0,0,0,1
112,Surry Hills,Data Scientist,DataRobot,Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
113,Surry Hills,Data Scientist,Datasii,Experience as a Data Scientist,100000.0,115000.0,107500.0,0,0,1,0
114,Surry Hills,Data Scientist,Freelancer.com,Proven experience as a Data Scientist,65000.0,110000.0,87500.0,0,0,1,0
115,Surry Hills,Data Scientist,Freshwater Group,The Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
116,Surry Hills,Data Scientist,CPT Global,Strong experience working as a Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
117,Surry Hills,Data Scientist,Ikon,Provide tangible support to Senior Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
118,Surry Hills,Data Scientist,Sydney,Undertake proactive analysis of customer Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
119,Surry Hills,Junior Data Scientist,HIVERY,Our team of Data Scientist,60000.0,85000.0,72500.0,0,0,0,1
120,Macquarie Park,Data Scientist,Domain Group,As a Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
121,Macquarie Park,Data Scientist,ANZ Banking Group,As the Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
123,Macquarie Park,Junior Data Scientist,Intellify,We also believe great Data Scientist,80000.0,100000.0,90000.0,0,0,0,1
124,Macquarie Park,Junior Data Scientist,The Eclair Group,Industry experience as a Data Analyst or Junior Data Scientist,70000.0,90000.0,80000.0,0,0,0,1
125,Macquarie Park,Data Scientist,Investigations & Counter Terrorism,Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
126,Macquarie Park,Junior Data Scientist,Sirius People ,Opportunity to start your career in Data Scientist,70000.0,90000.0,80000.0,0,0,0,1
127,Macquarie Park,Data Scientist,DataRobot,Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
128,Macquarie Park,Data Scientist,Datasii,Experience as a Data Scientist,100000.0,115000.0,107500.0,0,0,1,0
129,Macquarie Park,Data Scientist,Freelancer.com,Proven experience as a Data Scientist,65000.0,110000.0,87500.0,0,0,1,0
130,Macquarie Park,Data Scientist,Freshwater Group,The Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
131,Macquarie Park,Data Scientist,CPT Global,Strong experience working as a Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
132,Macquarie Park,Data Scientist,Ikon,Provide tangible support to Senior Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
133,Macquarie Park,Data Scientist,Sydney,Undertake proactive analysis of customer Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
134,Macquarie Park,Junior Data Scientist,HIVERY,Our team of Data Scientist,60000.0,85000.0,72500.0,0,0,0,1
135,Sydney,Data Scientist,Domain Group,As a Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
136,Sydney,Data Scientist,ANZ Banking Group,As the Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
138,Sydney,Junior Data Scientist,Intellify,We also believe great Data Scientist,80000.0,100000.0,90000.0,0,0,0,1
139,Sydney,Junior Data Scientist,The Eclair Group,Industry experience as a Data Analyst or Junior Data Scientist,70000.0,90000.0,80000.0,0,0,0,1
140,Sydney,Data Scientist,Investigations & Counter Terrorism,Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
141,Sydney,Junior Data Scientist,Sirius People ,Opportunity to start your career in Data Scientist,70000.0,90000.0,80000.0,0,0,0,1
142,Sydney,Data Scientist,DataRobot,Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
143,Sydney,Data Scientist,Datasii,Experience as a Data Scientist,100000.0,115000.0,107500.0,0,0,1,0
144,Sydney,Data Scientist,Freelancer.com,Proven experience as a Data Scientist,65000.0,110000.0,87500.0,0,0,1,0
145,Sydney,Data Scientist,Freshwater Group,The Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
146,Sydney,Data Scientist,CPT Global,Strong experience working as a Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
147,Sydney,Data Scientist,Ikon,Provide tangible support to Senior Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
148,Sydney,Data Scientist,Sydney,Undertake proactive analysis of customer Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
149,Sydney,Junior Data Scientist,HIVERY,Our team of Data Scientist,60000.0,85000.0,72500.0,0,0,0,1
150,Hills District,Data Scientist,Domain Group,As a Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
151,Hills District,Data Scientist,ANZ Banking Group,As the Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
153,Hills District,Junior Data Scientist,Intellify,We also believe great Data Scientist,80000.0,100000.0,90000.0,0,0,0,1
154,Hills District,Junior Data Scientist,The Eclair Group,Industry experience as a Data Analyst or Junior Data Scientist,70000.0,90000.0,80000.0,0,0,0,1
155,Hills District,Data Scientist,Investigations & Counter Terrorism,Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
156,Hills District,Junior Data Scientist,Sirius People ,Opportunity to start your career in Data Scientist,70000.0,90000.0,80000.0,0,0,0,1
157,Hills District,Data Scientist,DataRobot,Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
158,Hills District,Data Scientist,Datasii,Experience as a Data Scientist,100000.0,115000.0,107500.0,0,0,1,0
159,Hills District,Data Scientist,Freelancer.com,Proven experience as a Data Scientist,65000.0,110000.0,87500.0,0,0,1,0
160,Hills District,Data Scientist,Freshwater Group,The Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
161,Hills District,Data Scientist,CPT Global,Strong experience working as a Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
162,Hills District,Data Scientist,Ikon,Provide tangible support to Senior Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
163,Hills District,Data Scientist,Sydney,Undertake proactive analysis of customer Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
164,Hills District,Junior Data Scientist,HIVERY,Our team of Data Scientist,60000.0,85000.0,72500.0,0,0,0,1
165,Sydney,Data Scientist,Domain Group,As a Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
166,Sydney,Data Scientist,ANZ Banking Group,As the Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
168,Sydney,Junior Data Scientist,Intellify,We also believe great Data Scientist,80000.0,100000.0,90000.0,0,0,0,1
169,Sydney,Junior Data Scientist,The Eclair Group,Industry experience as a Data Analyst or Junior Data Scientist,70000.0,90000.0,80000.0,0,0,0,1
170,Sydney,Data Scientist,Investigations & Counter Terrorism,Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
171,Sydney,Junior Data Scientist,Sirius People ,Opportunity to start your career in Data Scientist,70000.0,90000.0,80000.0,0,0,0,1
172,Sydney,Data Scientist,DataRobot,Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
173,Sydney,Data Scientist,Datasii,Experience as a Data Scientist,100000.0,115000.0,107500.0,0,0,1,0
174,Sydney,Data Scientist,Freelancer.com,Proven experience as a Data Scientist,65000.0,110000.0,87500.0,0,0,1,0
175,Sydney,Data Scientist,Freshwater Group,The Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
176,Sydney,Data Scientist,CPT Global,Strong experience working as a Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
177,Sydney,Data Scientist,Ikon,Provide tangible support to Senior Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
178,Sydney,Data Scientist,Sydney,Undertake proactive analysis of customer Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
179,Sydney,Junior Data Scientist,HIVERY,Our team of Data Scientist,60000.0,85000.0,72500.0,0,0,0,1
180,Sydney,Data Scientist,Domain Group,As a Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
181,Sydney,Data Scientist,ANZ Banking Group,As the Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
183,Sydney,Junior Data Scientist,Intellify,We also believe great Data Scientist,80000.0,100000.0,90000.0,0,0,0,1
184,Sydney,Junior Data Scientist,The Eclair Group,Industry experience as a Data Analyst or Junior Data Scientist,70000.0,90000.0,80000.0,0,0,0,1
185,Sydney,Data Scientist,Investigations & Counter Terrorism,Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
186,Sydney,Junior Data Scientist,Sirius People ,Opportunity to start your career in Data Scientist,70000.0,90000.0,80000.0,0,0,0,1
187,Sydney,Data Scientist,DataRobot,Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
188,Sydney,Data Scientist,Datasii,Experience as a Data Scientist,100000.0,115000.0,107500.0,0,0,1,0
189,Sydney,Data Scientist,Freelancer.com,Proven experience as a Data Scientist,65000.0,110000.0,87500.0,0,0,1,0
190,Sydney,Data Scientist,Freshwater Group,The Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
191,Sydney,Data Scientist,CPT Global,Strong experience working as a Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
192,Sydney,Data Scientist,Ikon,Provide tangible support to Senior Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
193,Sydney,Data Scientist,Sydney,Undertake proactive analysis of customer Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
194,Sydney,Junior Data Scientist,HIVERY,Our team of Data Scientist,60000.0,85000.0,72500.0,0,0,0,1
195,Melbourne,Data Scientist,Domain Group,As a Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
196,Melbourne,Data Scientist,ANZ Banking Group,As the Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
198,Melbourne,Junior Data Scientist,Intellify,We also believe great Data Scientist,80000.0,100000.0,90000.0,0,0,0,1
199,Melbourne,Junior Data Scientist,The Eclair Group,Industry experience as a Data Analyst or Junior Data Scientist,70000.0,90000.0,80000.0,0,0,0,1
200,Melbourne,Data Scientist,Investigations & Counter Terrorism,Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
201,Melbourne,Junior Data Scientist,Sirius People ,Opportunity to start your career in Data Scientist,70000.0,90000.0,80000.0,0,0,0,1
202,Melbourne,Data Scientist,DataRobot,Data Scientist,82500.0,112500.0,97500.0,0,0,1,0
203,Melbourne,Data Scientist,Datasii,Experience as a Data Scientist,100000.0,115000.0,107500.0,0,0,1,0
204,Melbourne,Data Scientist,Freelancer.com,Proven experience as a Data Scientist,65000.0,110000.0,87500.0,0,0,1,0
